pregunta,tipo,opciones,requerido,descripcion,validacion
"¿Cuál es tu nombre completo?",texto_corto,,si,,""
"Describe tu experiencia laboral",texto_largo,,no,,""
"¿En qué país vives?",opcion_multiple,"México|España|Argentina|Colombia|Otro",si,,""
"¿Qué lenguajes de programación conoces?",casillas,"JavaScript|Python|Java|C++|Go|Rust",no,,""
"¿Cuál es tu nivel de inglés?",lista_desplegable,"Básico|Intermedio|Avanzado|Nativo",si,,""
"¿Qué tan satisfecho estás con nuestro servicio?",escala_lineal,,si,,"1-5"
"¿Cuándo naciste?",fecha,,si,,""
"¿A qué hora prefieres recibir llamadas?",hora,,no,,""
"Correo electrónico corporativo",email,,si,,"email"
"Edad",numero,,si,,"18-100"
"Teléfono de contacto",telefono,,si,,"phone"
"Sube tu CV en PDF",archivo,,no,"Formatos permitidos: PDF, DOC, DOCX","pdf,doc,docx"
"Evalúa estos productos",matriz,"Muy bueno|Bueno|Regular|Malo",si,"Filas: Producto A, Producto B, Producto C",""
"Califica nuestro soporte técnico",calificacion,,si,,"1-10"
"Fecha y hora de la reunión",fecha_hora,,si,,""
